"ScientificName","CommonName","Designation","Type","Family","Subfamily","Tribe","Genus","Layer","LifeCycle","DeciduousEvergreen","Zone","SunShadePreference","ShadeTolerance","PerformanceRating","Fertility","Cover","HighSizeMin","HighSizeMax","WideSizeMinMeter","WideSizeMaxMeter","Flowering","Fruiting","FruitingMinYear","FruitingMaxYear","AnnualProductionMinKg","AnnualProductionMaxKg"
"CydoniaOblonga","Quince","QuinceA","Semi-Vigorous","Rosaceae","Amygdaloideae","Maleae","Cydonia","Canopy","Perennial","D","4","1","2","2","SF","0","3","5","3","5","May-June","","4","5","15","15"
"CydoniaOblonga","Quince","QuinceC","Semi-Dwarfing","Rosaceae","Amygdaloideae","Maleae","Cydonia","Canopy","Perennial","D","4","1","2","2","SF","0","2.5","4","4","4","May-June","","3","4","15","15"
"FicusCarica","FIG","","","Moraceae","","","Ficus","Canopy","Perennial","D","6","1","1","2","SF","0","3","6","2","4","","","3","4","5","15"
"MalusDomestica","Apple","M25","Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","6","8","6","6","April-May","","7","10","45","180"
"MalusDomestica","Apple","MM111","Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","6","8","6","6","April-May","","7","10","45","180"
"MalusDomestica","Apple","MM106","Semi-Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","4","5","4","5","April-May","","3","4","35","70"
"MalusDomestica","Apple","M26","Semi-Swarf","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","2.5","4","3.5","3.5","April-May","","2","4","25","55"
"MespilusGermanica","Medlar","Hawthorn","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","4","6","3","5","May","","2","3","10","20"
"MespilusGermanica","Medlar","QuinceA","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","0","0","0","0","May","","2","3","10","20"
"MespilusGermanica","Medlar","QuinceC","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","0","0","0","0","May","","2","3","10","20"
"PrunusArmeniaca","Apricot","","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","1","2","SF","0","4","4","4","4","February-March","","4","5","5","55"
"PrunusAvium","SweetCherry","Colt","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","2","3","SF-SS","0","8","10","6","6","April","","3","4","5","55"
"PrunusAvium","SweetCherry","Gisela","Dwarf","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","2","3","SF-SS","0","2.5","3","2","2","April","","2","3","10","20"
"PrunusCerasus","SourCherry","Colt","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","3","3","SF","0","3.5","3.5","3.5","3.5","April-May","","3","4","5","18"
"PrunusCerasus","SourCherry","Gisela","Dwarf","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","3","3","SF","0","2","2","1.5","1.5","April-May","","2","3","3","8"
"Prunusdomestica&P.insititia","Plums","Myrobalan","Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","2","4","SF-SS","0","6","7","6","7","April","","5","6","65","65"
"Prunusdomestica&P.insititia","Plums","StJulienA","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","2","4","SF-SS","0","3.5","4.5","3.5","4.5","April","","3","5","40","50"
